artist_uri,artist_name
7y97mc3bZRFXzT2szRM4L4,Frederic Chopin
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
1dfeR4HaWDbWqFHLkxsg1d,Queen and David Bowie
1hCkSJcXREhrodeIHQdav8,Ramin Djawadi
2cCUtGK9sDU2EoElnk0GNB,The National
2dB3VxAmEw5Dqewiha1oO1,The Greatest Bits
6HWfXh9ErTOP7mSk7kxnf0,Chiptune Radio
0X1wtVNo8CVrMEKh8y8knH,GlitchxCity
4pAgH7ZVMfeEqm11iwwYjA,FalKKonE
1cSLWtq8penAi11GiMxgHc,Neku
1U2GH2NLt30RW9bnJEvcgM,Braxton Burks
5B0H8bMexCZKbc2UaVUzmF,MinecraftUniverse
1T7zBkQCOCacKjbnmFX7cp,GameChops
62GoYifV4njTdvS8lD2yYT,insaneintherainmusic
6gGEbIpUsOUFPu6o9erl9S,Zelda Cover Band
6i5jeqNyrzyfDwIiAfNdyF,Moises Nieto
6dOnTTVTbQlFWF6yfD4Vw5,daigoro789
52PmW6wfHfCkQq16XF7sJz,Manaka Kataoka
2EFkigEczkUGF0PWTBX8IR,Video Game Players
0LzeyDrlLtuyBqMSBN4z3U,Qumu
480xKab3lUPhBBnCzlzqIu,Taylor Davis
0cxNfEa3UFPqeMaUudfKtj,User Youth
3PfJE6ebCbCHeuqO4BfNeA,London Philharmonic Orchestra
123epI2OFu37F7VsnOBn9F,The Marcus Hedges Trend Orchestra
5NLlq8IzOUuqDYGPxoPkSC,Michael Tai
094Eb3gQkbFFT4seoZoMaS,Triforce Quartet
21Tp0aROiJGTa0BgFGsC6v,The Versions
2WC05LNhYfprewGa72WQhP,Wesley Sprayue
1v4YnufenjE9BLAfP90qvt,Arcade Player
0fagNxnyvy6FDvkNPt6X29,Monsalve
4cyHkKiXAQkIWXJ4pi2TIP,Franco Albertini
7eSzU0TjGXlVL3bXSexvo7,Hajime Wakai
3T7TTwTUPXYvIHsMOKHxx7,Kenta Nagata
36yuG9DyloDYqWKWRoYqPc,ViolinGamer
69EWJ8UVSlytt27VsEsQAw,Amy Turk
3LZIkCMVjsdCQWmbOgZXsE,Toru Minegishi
4aCvJneLXFoKTe1919Zk0J,PPF
1LgVvBvmQm48GExZDH322C,Good Knight Productions
30ur9OW63O3mffcjm0UpIF,Dan DeSimone
4ShgdWtm52xvEr8uYmT0V6,SEGA SOUND TEAM
1CRvJnCbPjgx0xmBdoex0c,Koji Kondo
0aTXD7f2nucmawx2XWTgMq,Rare Candy
6ImfL6wSxqhYl64AbsaNZX,TPR
1KkjjsBwGqU2YjS9OIucZV,Hyper Potions
0mSUBVwxfnwV4tue8JINCP,Super Mario 64
451UU345Ht2CuGIrkCQHYP,Retro Crowd
21VBNkZvKxrI9zmfFRxXvn,8-Bit Arcade
4uFZsG1vXrPcvnZ4iSQyrx,C418
4XU5f8nGiPMr6eetud6epC,Nitro Fun
