playlist_uri,playlist_name,added_by
37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes,
52ed11cF35KOKnJsetko4M,David Bowie Official Playlist: Top Tracks,david_bowie_
1VmZPGCZLkB4H4VXRwEe7r,Game of Thrones Soundtracks,1265145133
0XBmF3VhDd7SsyEYcGApYm,pokemon game soundtrack,composer1982
2gb7i6T9QZKaNKHFJf5kYF,Zelda Themes,lukasknu
6eWTGaHznQU0l708WKqAxt,Retro Video Game Music,vdill2x8uqfjiqerltat5f167
37i9dQZF1DX2rheAFbQM31,This is Moby,
1oug63AqbSSxpytvc8ORDn,Zelda Remixes,juk47
7scUY5asVSM1xwOQEQf9qw,2000s r&b,12493413
5B66Bd3mPfvfQm8sOXvSLn,electric,12493413
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,
3wPWN6RV9fKZVV2vXIRSuX,rhythm & blues,12493413
57fcnmNKGYk9ucVzo7oqIA,slow pop,12493413
37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,
