track_uri,track_name,artist_uri,album_uri,playlist_uri,duration_ms,preview_url,added_at
2MSgFefjK0T7Iwjvr3OKqV,Chopin: Nocturne No. 20 in C-Sharp Minor Op. Posth.,7y97mc3bZRFXzT2szRM4L4,3hW1TEeZRJ01XycQFABjj9,37i9dQZF1DX99gNWyxQ2OR,259493,https://p.scdn.co/mp3-preview/bc2e0802bbe54e5a8be0f93e5dac70345d55522f?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
1sy5fd8zcgitoStD1MhyAx,Chopin: Nocturne No. 3 in B Major Op. 9 No. 3,7y97mc3bZRFXzT2szRM4L4,7kGObwwRrq6pgj9MwSu4Qx,37i9dQZF1DX99gNWyxQ2OR,380746,https://p.scdn.co/mp3-preview/0b8df724b49e098f1ca444c179f63f52f9508399?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
64LTn5fTsPR0QLy7bVYl9w,Nocturne No. 19 in E Minor Op. 72 No. 1,7y97mc3bZRFXzT2szRM4L4,5MyejkHGSoo5IfTum4VMiw,37i9dQZF1DX99gNWyxQ2OR,241986,https://p.scdn.co/mp3-preview/41affeacfd48046c92af6708a3b5bb94cac00021?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
3oriraGUD3nlYIJfqINnE4,Nocturne in F-Sharp Major Op. 15 No. 2: Nocturne No. 5 in F-Sharp Major Op. 15 No. 2,7y97mc3bZRFXzT2szRM4L4,5GogZxTGjrQ72jGSpXLLt9,37i9dQZF1DX99gNWyxQ2OR,229000,https://p.scdn.co/mp3-preview/a04e5867a7c2b278887ffbb3339d2fb968bffe0a?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
503fwzlbWHx5g0CqlU9Giu,Nocturne No.2 In E Flat Op.9 No.2,7y97mc3bZRFXzT2szRM4L4,2aoSpTAjFaMvaZeruqnCVv,37i9dQZF1DX99gNWyxQ2OR,242586,https://p.scdn.co/mp3-preview/0667d63bd0e7c7b6f22deac19e393a7e9534de1c?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
7v5GzMLLBOwz39uUn8UeYr,Nocturne in D-Flat Major Op. 27 No. 2,7y97mc3bZRFXzT2szRM4L4,7k54RTWZdOVQqMR5torR0n,37i9dQZF1DX99gNWyxQ2OR,352452,https://p.scdn.co/mp3-preview/5b411fef666f3ea13e9091704dc103b6a6fd64f7?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
4BTKLuoeQilGkBi47bt2hs,Nocturne No.15 In F Minor Op.55 No.1,7y97mc3bZRFXzT2szRM4L4,3zHkuOkUqIgRwCcVnbX9qf,37i9dQZF1DX99gNWyxQ2OR,280000,https://p.scdn.co/mp3-preview/64bc3339ae579dee6364f1ed373a698ba123e07e?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
1QBaOzhMlaWx9zQZIEmJFx,Nocturne in E-Flat Major Op. 55 No. 2,7y97mc3bZRFXzT2szRM4L4,0ylbO515jtrovpxr1drKdF,37i9dQZF1DX99gNWyxQ2OR,366320,https://p.scdn.co/mp3-preview/fc4ce25a3ec37eea29ce2461f0f97983c9a2613b?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
6saqyONsKCCJw0gWh95LCi,Nocturne No.11 In G Minor Op.37 No.1,7y97mc3bZRFXzT2szRM4L4,2aoSpTAjFaMvaZeruqnCVv,37i9dQZF1DX99gNWyxQ2OR,321373,https://p.scdn.co/mp3-preview/436ada34c0c4e3959496bac49edd87e66cbbcc9d?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
4Q37ztBKLNpNTM60J1hHgL,Chopin: Nocturne No. 4 in F Major Op. 15 No. 1,7y97mc3bZRFXzT2szRM4L4,7y3AsSZqsPwODemRGCpnLZ,37i9dQZF1DX99gNWyxQ2OR,274346,https://p.scdn.co/mp3-preview/179f97e00990484074640755bf9edc9aa3220671?cid=9950ac751e34487dbbe027c4fd7f8e99,2020-11-02 131359
